net,length_um
_08549_,800.29
_06534_,776.2
_08419_,738.13
_03744_,679.225
_08422_,676.46
_06418_,658.75
_06058_,653.2
_06173_,623.39
net10,622.92
_06645_,621.63
_08418_,617.31
_08400_,613.71
_08410_,609.33
_03713_,604.21
_05876_,598.58
_06630_,598.105
_08525_,590.57
_06109_,578.22
_06171_,571.305
_06036_,563.44
_06649_,559.9
_08522_,557.32
_04238_,551.87
_06062_,550.68
_06858_,542.175
_08403_,541.28
_06456_,540.605
_03765_,539.29
_08526_,539.18
_06855_,528.24
_06653_,527.05
_06059_,519.83
_08520_,517.825
_03748_,517.35
_03767_,512.87
_06636_,512.81
_07001_,510.44
_06651_,508.25
_03766_,506.99
_06643_,500.77
_06647_,500.51
_08397_,500.38
_03847_,499.015
_06142_,497.93
_08794_,497.8
_08409_,497.05
_06638_,488.84
clknet_1_0__leaf_clk,487.66
_06123_,482.8
_04200_,481.755
clknet_1_1__leaf_clk,481.09
_03750_,479.19
net7,477.96
_05689_,475.82
_06641_,471.45
_06009_,471.12
_05690_,469.185
_05237_,468.17
_05534_,467.34
clknet_1_0__leaf__08473_,466.74
_03714_,464.63
_03281_,464.295
clknet_1_1__leaf__08484_,464.04
_06149_,461.445
_03757_,458.86
_06626_,457.25
_03702_,455.88
_06655_,454.22
_07360_,449.53
_06632_,446.13
_06053_,443.58
_03704_,442.28
_06124_,440.74
_08414_,439.9
net12,438.42
_05861_,437.9
_06054_,437.82
_06106_,436.255
_08532_,435.86
_05824_,432.91
_08578_,431.57
_03717_,430.93
_06083_,430.04
_06145_,428.96
net1,428.745
_05236_,428.535
_06082_,427.36
net5,426.5
_06634_,425.39
_06150_,423.87
_06535_,419.91
_08536_,414.34
_07337_,413.86
_08581_,413.82
_08596_,412.85
_08412_,411.31
_06085_,409.12
_07349_,408.69
_07358_,408.54
_07335_,406.79
_05541_,404.64
_06622_,404.44
clknet_1_1__leaf__03640_,403.84
_06200_,403.69
_07356_,403.53
_07339_,402.48
_03769_,402.12
_04446_,401.71
net9,397.37
_03739_,397.25
_06245_,396.45
_06620_,395.68
_06105_,395.67
_05745_,394.845
_07163_,393.63
clknet_1_0__leaf__04982_,393.12
_06617_,392.67
clknet_1_1__leaf__03643_,391.77
_06168_,391.48
_06292_,390.36
net6,389.52
_05872_,387.44
_06361_,387.4
_04642_,385.8
clknet_1_0__leaf__03656_,381.97
_06169_,380.96
_07353_,380.2
_07341_,380.03
_07351_,379.26
_07525_,379.16
clknet_1_1__leaf__08341_,378.495
_03698_,376.56
_07343_,375.4
_08401_,373.04
_06628_,372.79
CPU.mem_wdata\[6\],371.71
_06267_,371.4
_07332_,371.07
_08396_,370.93
_06413_,370.77
_06657_,370.43
_06031_,369.58
_08394_,368.93
_07883_,368.06
_08541_,365.57
_06624_,364.8
_06440_,364.79
_06856_,364.78
_06386_,364.14
clknet_1_0__leaf__08370_,364.01
_06316_,363.64
CPU.mem_wdata\[3\],363.5
clknet_1_1__leaf__08462_,363.08
_02964_,362.47
_06337_,362.37
_03693_,359.95
clknet_1_1__leaf__08506_,359.36
_08393_,358.275
_07326_,357.6
_08584_,357.15
_08576_,354.83
_06611_,352.82
_07362_,350.78
_07309_,350.15
_06615_,349.82
_08540_,348.795
_05804_,348.72
_06474_,348.43
clknet_1_1__leaf__08482_,348.12
_06013_,347.76
_06396_,347.61
_07822_,345.02
CPU.mem_wdata\[2\],344.965
_04033_,344.9
clknet_1_0__leaf__08458_,344.65
_06061_,344.39
_06010_,344.32
_07318_,344.16
_06465_,343.98
_05838_,341.71
net2,341.18
_07296_,340.75
CPU.mem_wdata\[0\],340.49
net4,338.4
_08144_,338.01
_06224_,337.95
_07328_,336.615
_07345_,336.54
_08564_,336.4
_07200_,336.21
_03694_,335.65
_05785_,333.65
_04074_,332.26
_07919_,330.15
_07314_,330.06
_06613_,328.93
_04353_,328.1
_03763_,327.88
_08560_,327.79
CPU.aluIn1\[1\],326.21
CPU.mem_wdata\[4\],326.12
_07452_,326.1
CPU.Iimm\[3\],325.37
CPU.mem_wdata\[1\],320.01
_07274_,319.73
clknet_1_0__leaf__03688_,319.11
_05545_,318.53
CPU.aluIn1\[11\],318.035
_07347_,316.85
CPU.Bimm\[10\],316.715
_07956_,315.76
_06486_,315.62
_06618_,315.37
_08645_,314.23
_03716_,314.17
_07108_,314.04
_06035_,313.98
_05514_,313.92
_05703_,313.01
_05873_,312.91
_08569_,312.43
_05555_,312.275
_05738_,312.25
_08423_,311.925
_08398_,311.91
_06363_,311.82
_04476_,310.44
_05852_,309.8
_08109_,309.66
_03072_,309.28
CPU.Bimm\[8\],308.5
clknet_1_0__leaf__08440_,307.25
_04715_,305.78
_06661_,305.54
_08590_,305.45
CPU.mem_wdata\[7\],305.16
_06339_,304.94
_04478_,304.7
_03745_,304.4
_03724_,304.19
_08543_,303.545
CPU.aluIn1\[16\],303.27
_07285_,302.39
_06032_,301.74
_04605_,301.38
_06609_,301.08
_02935_,300.7
clknet_1_0__leaf__08444_,300.66
_08567_,299.555
_06664_,299.04
_05733_,298.65
_03742_,297.94
_06199_,297.93
_02838_,297.02
_07366_,296.99
_04524_,296.66
_02752_,296.36
clknet_1_1__leaf__03686_,296.09
_06064_,295.92
CPU.aluIn1\[18\],295.9
CPU.Bimm\[6\],295.89
CPU.aluIn1\[2\],295.78
_08592_,294.89
CPU.aluIn1\[17\],294.7
_04992_,293.84
_08588_,293.4
_07847_,292.36
_04006_,291.55
_03737_,290.98
_03727_,290.31
clknet_1_0__leaf__03686_,290.09
_05853_,289.49
_08131_,289.4
_06244_,288.65
_07416_,288.41
CPU.aluIn1\[21\],286.645
clknet_1_0__leaf__03654_,285.97
_04395_,285
_08120_,284.73
CPU.aluIn1\[14\],284.69
clknet_1_0__leaf__08462_,284.26
_07376_,283.58
CPU.aluIn1\[15\],283.28
_08545_,283.27
CPU.aluIn1\[6\],283.06
CPU.aluIn1\[20\],283
_03796_,283
_05825_,282.84
clknet_1_1__leaf__08448_,282.63
_08557_,282.39
clknet_1_0__leaf__08340_,281.97
_03722_,281.47
clknet_1_0__leaf__08492_,280.56
_03725_,279.78
_04437_,278.94
CPU.aluIn1\[7\],278.14
_04803_,278.04
_03730_,277.78
_04838_,277.76
_05737_,277.74
_03092_,277.1
_04276_,276.66
_03732_,276.63
_08538_,276.6
_05744_,276.49
_07364_,276.44
_03726_,276.4
_05422_,276.315
_05526_,275.73
_06992_,275.66
CPU.Bimm\[9\],275.355
_07316_,274.52
_08513_,274.23
_06140_,274.22
CPU.mem_wdata\[5\],273.87
_05766_,273.58
_03833_,273.2
_02953_,273.08
_03212_,272.57
_07330_,272.3
_06973_,272.18
CPU.aluIn1\[19\],271.9
_03033_,271.8
CPU.aluIn1\[13\],271.52
CPU.Bimm\[5\],271.08
_06148_,271.02
CPU.aluIn1\[8\],270.56
_07968_,270.38
_07320_,270.03
_04160_,269.99
_07562_,269.72
CPU.Bimm\[7\],269.39
_07696_,269.15
_08547_,269.05
_03755_,268.89
_04314_,268.89
_07490_,268.175
CPU.aluIn1\[4\],268.04
_05839_,267.58
CPU.Iimm\[1\],267.56
CPU.Iimm\[2\],267.16
_06607_,267.02
per_uart.uart0.uart_rxd2,266.97
_06596_,266.47
_03043_,266.125
_03875_,265.15
_08416_,265.095
_08535_,264.86
_07859_,264.38
_05520_,264.32
_03460_,263.94
_04768_,262.84
_03242_,262.17
_06599_,262.13
_07378_,262.08
_04120_,261.8
CPU.aluIn1\[12\],260.87
_06738_,260.79
_06555_,260.76
_03697_,260.59
clknet_1_1__leaf__03654_,260.58
_06676_,260.5
_06861_,260.5
_05284_,258.52
_05735_,258.42
_04604_,258.21
_07704_,258.02
_06508_,257.92
_06659_,257.84
_08582_,257.75
CPU.aluIn1\[3\],257.53
clknet_1_1__leaf__08486_,256.77
_05734_,256.76
_08554_,256.68
_04146_,256.5
_07322_,256.36
CPU.aluIn1\[23\],256.26
_06304_,255.82
_02937_,255.78
_06528_,255.4
_03495_,254.36
CPU.aluIn1\[9\],254.04
_07646_,253.75
_06141_,253.34
